,SSP126_AR6GWP_KyotoGHG,SSP126_AR6GWP_CO2LULUCF,SSP126_AR6GWP_IPCM0EL,SSP119_AR6GWP_KyotoGHG,SSP119_AR6GWP_CO2LULUCF,SSP119_AR6GWP_IPCM0EL,SSP245_AR6GWP_KyotoGHG,SSP245_AR6GWP_CO2LULUCF,SSP245_AR6GWP_IPCM0EL,SSP126_CH4,SSP119_CH4,SSP245_CH4
1889,6061.400035,2532.312708,3529.087327,6061.400035,2532.312708,3529.087327,6061.400035,2532.312708,3529.087327,75.92960019,75.92960019,75.92960019
1890,6186.967421,2520.270356,3666.697065,6186.967421,2520.270356,3666.697065,6186.967421,2520.270356,3666.697065,77.07862319,77.07862319,77.07862319
1891,6251.972126,2507.988844,3743.983282,6251.972126,2507.988844,3743.983282,6251.972126,2507.988844,3743.983282,77.68229292,77.68229292,77.68229292
1892,6343.234627,2561.196286,3782.038341,6343.234627,2561.196286,3782.038341,6343.234627,2561.196286,3782.038341,78.54558089,78.54558089,78.54558089
1893,6367.836942,2564.061168,3803.775774,6367.836942,2564.061168,3803.775774,6367.836942,2564.061168,3803.775774,79.81501329,79.81501329,79.81501329
1894,6523.578996,2622.209594,3901.369403,6523.578996,2622.209594,3901.369403,6523.578996,2622.209594,3901.369403,81.38345626,81.38345626,81.38345626
1895,6646.989482,2641.864587,4005.124895,6646.989482,2641.864587,4005.124895,6646.989482,2641.864587,4005.124895,82.23116014,82.23116014,82.23116014
1896,6726.239988,2651.009917,4075.230071,6726.239988,2651.009917,4075.230071,6726.239988,2651.009917,4075.230071,83.00005426,83.00005426,83.00005426
1897,6845.623414,2659.941939,4185.681476,6845.623414,2659.941939,4185.681476,6845.623414,2659.941939,4185.681476,84.39253635,84.39253635,84.39253635
1898,6964.090224,2669.096822,4294.993402,6964.090224,2669.096822,4294.993402,6964.090224,2669.096822,4294.993402,85.36127162,85.36127162,85.36127162
1899,7152.941771,2669.754913,4483.186858,7152.941771,2669.754913,4483.186858,7152.941771,2669.754913,4483.186858,86.70543387,86.70543387,86.70543387
1900,7280.849344,2677.143179,4603.706165,7280.849344,2677.143179,4603.706165,7280.849344,2677.143179,4603.706165,87.61328845,87.61328845,87.61328845
1901,7609.175179,2920.220385,4688.954794,7609.175179,2920.220385,4688.954794,7609.175179,2920.220385,4688.954794,88.39116711,88.39116711,88.39116711
1902,7704.545545,2932.578084,4771.967461,7704.545545,2932.578084,4771.967461,7704.545545,2932.578084,4771.967461,89.26282464,89.26282464,89.26282464
1903,8006.140337,3039.918912,4966.221425,8006.140337,3039.918912,4966.221425,8006.140337,3039.918912,4966.221425,89.89074057,89.89074057,89.89074057
1904,8180.685069,3137.132745,5043.552324,8180.685069,3137.132745,5043.552324,8180.685069,3137.132745,5043.552324,91.35674943,91.35674943,91.35674943
1905,8449.670194,3236.03741,5213.632784,8449.670194,3236.03741,5213.632784,8449.670194,3236.03741,5213.632784,92.40132432,92.40132432,92.40132432
